"BehaviorSpace results (NetLogo 6.1.1)"
"Wolf Sheep Predation.nlogo"
"wolf-sheep-grass-simpler"
"04/21/2020 12:31:36:944 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-gain-from-food","show-energy?","initial-number-wolves","wolf-reproduce","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce","[step]","count sheep","count wolves","count turtles"
"228","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","173","31","204"
"229","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","169","38","207"
"230","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","158","22","180"
"231","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","195","33","228"
"232","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","154","47","201"
"233","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","153","38","191"
"234","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","170","0","170"
"236","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","150","34","184"
"237","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","152","47","199"
"235","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","164","23","187"
"238","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","209","23","232"
"239","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","189","23","212"
"240","20","false","10","5","150","sheep-wolves-grass","4","40","4","1000","166","38","204"
"242","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","296","55","351"
"241","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","347","37","384"
"243","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","381","33","414"
"244","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","348","6","354"
"245","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","335","80","415"
"246","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","340","57","397"
"247","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","108","113","221"
"248","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","352","8","360"
"249","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","339","94","433"
"250","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","80","39","119"
"251","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","113","179","292"
"252","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","272","14","286"
"253","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","347","81","428"
"254","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","163","170","333"
"255","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","225","6","231"
"256","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","61","169","230"
"257","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","441","48","489"
"259","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","310","53","363"
"258","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","365","40","405"
"260","20","false","10","5","180","sheep-wolves-grass","4","20","4","1000","267","110","377"
"261","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","147","96","243"
"262","20","false","10","5","180","sheep-wolves-grass","4","30","4","1000","163","60","223"
